Player_Name,Category,Value
Kobe Bryant,assist_pct,0.2387
Kobe Bryant,average assist,4.76
Kobe Bryant,average points,24.2
Kobe Bryant,average rebound,5.2
Kobe Bryant,net_rating,2.6
Kobe Bryant,rings_won,5
Kobe Bryant,true_shooting_pct,0.5432
Kobe Bryant,usage_pct,0.3116
LeBron James,assist_pct,0.352
LeBron James,average assist,7.368421053
LeBron James,average points,27.11052632
LeBron James,average rebound,7.5
LeBron James,net_rating,6.7
LeBron James,rings_won,4
LeBron James,true_shooting_pct,0.589684211
LeBron James,usage_pct,0.312947368
Michael Jordan,assist_pct,0.221
Michael Jordan,average assist,4.2
Michael Jordan,average points,25.3
Michael Jordan,average rebound,5.875
Michael Jordan,net_rating,5.4
Michael Jordan,rings_won,6
Michael Jordan,true_shooting_pct,0.51475
Michael Jordan,usage_pct,0.329
